hola	hello
mundo	world
bonjour	hello
monde	world
hallo	hello
welt	world
ciao	hello
mondo	world
aqua	water
agua	water
lingua	language
water	water
jambo	hello
merhaba	hello
привет	hello
мир	world
水	water
नमस्ते	hello
안녕	hello
שלום	peace
γεια	hi
saluton	hello
cześć	hello
świecie	world
gracias	thanks
merci	thanks
danke	thanks
hello	hello
world	world
deus	god
pax	peace
amor	love
šumma	if
dīnu	judgment
tuppu	tablet
lugal	king
nam-tag	destiny
me	alternative letter-case form of I
a-a	father
ὕδωρ	water
φιλοσοφία	philosophy
λόγος	word
ἀρχή	principle
ius	romanization of 𐌹𐌿𐍃
wæter	water
cyning	king
tunge	tongue
wātar-	water
išḫai	king
apa	ice cream cone
rājan	king
dharma	law
καρυᾶτις	caryatid
ποντικόν κάρυον	hazelnut
αἰγιαλός	beach
αἰγοπρόσωπος	goat-faced
αἰγυπιός	vulture
αἰγόκερως	goat-horned
αἰδώς	shame
αἰθήρ	sky
αἰθαλόεις	sooty
αἰκία	insult
αἰνετός	praiseworthy
αἰπόλος	goatherd
αἰπύς	steep
αἰσθητικός	perceptible
αἰσχροσύνη	shamefulness
αἰσχρουργία	obscenity
αἰσχρός	ugly
αἰτία	cause
αἰτιατικός	causal
αἰχμή	war
αἰχμητής	spearman
αἰών	lifetime
αἰώνιος	age-long
αἰώρα	fluctuation
αἱμορραγία	hemorrhage
αἱρεσιάρχης	heresiarch
αἱρετικός	heretical
αἴθινος	blackish
αἴλουρος	cat
αἴνεσις	praise
αἴνιγμα	riddle
αἴσιμος	destined
αἶγες	waves
αἶθοψ	sparkling
αἶνος	tale
αἶσχος	shame
αἷμα	blood
αὐγή	dawn
αὐδή	sound
αὐλή	courtyard
αὐλαία	tent
αὐλικός	courtier
αὐλοθήκη	flute-case
αὐλός	stadium
αὐτοδίδακτος	self-taught
αὐτοπαθής	self-tormenting
αὐτόμολος	deserter
αὐτόχθων	indigenous
αὐχήν	neck
αὐχμός	thirst
αὔλιον	cottage
αὔρα	steam
αὔσπιξ	auspex
αὖλαξ	furrow
βάδιος	child
βάθος	profundity
βάλανος	acorn
βάμβαξ	cotton
βάπτισμα	baptism
βάρβιτος	barbitos
βάρος	weight
βάσις	horoscope
βάταλος	anus
βέκος	bread
