Κυνικός	doglike
κυρ	main
λιμοκτονίη	fasting
πολύτροπος	nutritious
συμβόλαιος	intercourse
τελει	last
χρωματικός	colored
ἰχθυοθηρητήρ	fisherman
οξυ	cleverness
Δεκεμβρίους	december
αὔω	dry
clepes	steal
πεισομένοις	future,middle,participle,skh
basiem	first,person,singular,present,passive,subjunctive
χια	feminine,nominative,vocative,plural
salutaris	safety,security
abdicatus	depose,second,person,plural,present,active,imperative,abdic
agit	second,person,singular,present,active,indicative
debuisset	first,person,singular,pluperfect,active,subjunctive
insomnia	sleeplessness
appendo	first,person,singular,perfect,active,indicative,append
compareo	appearing,first,person,singular,present,passive,subjunctive,compar
lotus	urine,piss
duim	third,person,singular,present,active,subjunctive
transiens	piercing
κλυω	aorist,active,participle
axis	alliance,coalition
arsi	arson
desiccate	remove,moisture,from
temperatura	the,general,mood
exter	use
lamium	sorceress,enchantress,witch
αγριωτατη	feminine,accusative,singular,tos
λίγεια	feminine,nominative,vocative,singular
figura	forming
bacillum	inflection,bacillus,nominative,vocative,plural
absentent	the,state,being,absent
scola	worm
claudus	imprison,confine
gelær	teach,guide,advise
εἰπόντα	masculine,accusative,plural,eip
fragor	strawberry,fragaria,vesca
buxus	inflection,buxus,nominative,vocative,plural
or	early,origin,beginning
calcabaris	second,person,singular,future,passive,indicative,calc
λέγοιμεν	first,person,singular,present,active,optative
alitus	second,third,person,singular,future,active,imperative
gyrus	prepare
πραε	masculine,neuter,genitive,plural
paragraph	paragraph
niobium	niobium
αἰσχρᾶς	feminine,accusative,plural,aiskhr
amabis	second,person,plural,future,passive,indicative
breath	live
accommodate	suitably
constant	third,person,plural,future,active,imperative,nst
Κορίνθιος	masculine,accusative,plural,kor,nth
πλεύσαντες	masculine,accusative,plural,ple
geondsprengan	scatter,about,sprinkle
arent	are,not,negative,auxiliary
pyramidalis	like,pyramid
emerges	second,person,singular,future,passive,indicative,merg
cyclus	age
παύσαιντο	third,person,singular,aorist,middle,optative
decresce	third,person,plural,future,active,indicative
πόση	feminine,dative,singular,sos
ζώει	third,person,plural,present,active,optative
φθειρ	aorist,active,participle,phthe
insectum	indented
mit	light,fruitful,mellow
ama	third,person,plural,present,active,indicative
stilla	still
κακοστόμαχος	neuter,nominative,singular,kakost,makhos
λαμπροτάταις	feminine,accusative,plural,mpr,tos
geat	grant
clamem	third,person,singular,present,active,subjunctive
πονηρᾶς	feminine,accusative,plural,pon
us	alternative,form
aluminium	single,atom,this,element
devores	inflection,vor,present,active,infinitive
πρωτε	feminine,genitive,plural,tos,the,first,quality
verto	head
σχοι	second,person,singular,aorist,middle,optative
esses	waste,consume,state,condition
ειπουσα	feminine,accusative,singular,eip
abiuramus	first,person,plural,present,passive,indicative,abi
slim	slime
diligis	first,person,plural,present,active,subjunctive,lig
πολλε	feminine,genitive,plural,pol
Masorete	relating,the,masorah,its,authors
gan	acquire,seize
argon	single,atom,this,element
χαλεποῖν	masculine,nominative,vocative,plural,lep
cogitaveris	first,person,plural,perfect,active,subjunctive,git
declametis	third,person,singular,present,passive,subjunctive
ειωθυια	feminine,nominative,vocative,plural
maleficus	enchant,ensorcell,bewitch
prosperus	propitiate
δοιή	third,person,singular,present,active,optative
indice	proclaiming,announcing
deal	pitch
beetles	archaic,spelling,betel
nudus	not,valid
radium	the,long,bone,forearm,side,thumb
fac	makeup
credebatis	third,person,singular,imperfect,passive,indicative
gram	grandmother
αἰτιωτάταις	feminine,genitive,dative,dual,ait,tos
aspiraret	second,person,plural,imperfect,active,subjunctive,asp
imaginor	membayangkan
παλαιοι	masculine,neuter,genitive,dative,dual,lai
Bermudan	bermuda,sloop
annosus	inflection,ann,sus,genitive,masculine,neuter,singular
cires	first,person,singular,imperfect,passive,subjunctive
dedicanto	third,person,plural,future,passive,imperative,dic
bog	arch,arm,shoulder
circus	about,around,circle
septemvir	september
μαρμάρεος	crystalline,rock
commutabant	third,person,singular,imperfect,active,indicative,comm
γνουσα	feminine,nominative,vocative,plural,gno
πεντάφυλλος	creeping,cinquefoil,potentilla,reptans
wæg	cup,flagon
curium	court
delegabimus	first,person,plural,future,passive,indicative
καθαρωτάτοις	superlative,degree
adorem	first,person,plural,present,active,subjunctive
νικωσα	feminine,accusative,singular
adescaveris	second,person,plural,perfect,active,subjunctive
περιδέξιος	armlet,for,the,right,arm
ascitus	inflection,asc,tus,genitive,masculine,neuter,singular
gelimplic	fitly,suitably
calcatis	trampled
ἀκρίς	peak,mountaintop,hilltop
caveat	warning
acaulous	acaulous
consoles	first,person,singular,perfect,active,indicative
coheres	second,person,singular,present,active,imperative,coh
accelerate	mempercepat
ate	oat
polycystid	pertaining,the,polycystina
tensor	grammatical,aspect
θερμοῖς	masculine,neuter,genitive,dative,dual,therm
dirimes	frustrate,destroy
botulinus	inflection,botul,nus,accusative,singular,masculine
pi	abbreviation,prohibited,immigrant
amigo	female,friend
ἀγαθαί	feminine,accusative,plural
focus	altar
bear	second,person,singular,imperfect,active,subjunctive
adveniemus	first,person,plural,imperfect,active,subjunctive,adveni
fultus	assistance
bestrican	bestride
cogo	second,person,singular,future,active,indicative
dedicabor	second,person,plural,future,active,indicative,dic
θηρ	epic,and,ionic,form,malignant,ulcer
ταχειαι	feminine,genitive,dative,dual
desertus	inflection,sertus,genitive,masculine,neuter,singular
λυτρωτοι	masculine,neuter,genitive,dative,dual,lutr
abstrusity	abstruse,manner
bun	cup
παυσαίμην	first,person,singular,aorist,active,optative
dedicabit	third,person,singular,future,passive,indicative,dic
coefficiens	cooperating
eard	occupy,settle
καλαῖν	feminine,dative,plural
deleverant	third,person,plural,perfect,active,indicative
πεσόντος	masculine,accusative,plural,pes
asio	kind,rye
chaldaeicus	chaldean,person
προστιθεῖσιν	feminine,accusative,singular,prost,the
berg	large,rucksack
παχυτάτοις	superlative,degree
celer	second,person,singular,present,passive,subjunctive
beorhte	brightness
tragus	drag,pull
candor	impartiality
adesa	inflection,sus,nominative,vocative,masculine,plural
batus	gnaw,chew
was	marsh
cancer	cancer
signator	distinguished,recognized
hydraulus	pertaining,water
λαλιστάταις	masculine,neuter,dative,plural,tos
alleva	first,person,singular,perfect,active,indicative,allin
μισθωτούς	mercenary,hireling
brec	inflected,infinitive,brecan
θελούσας	feminine,genitive,singular
sang	ginseng
κακαί	feminine,accusative,plural
acataleptic	verse,which,has,the,complete,number,feet,and
vitus	vine,grapevine
abnodor	second,person,singular,present,active,subjunctive,abn
μουσικούς	accomplished
φαρμακός	pertaining,magical,arts
morsus	little,piece,bit
acclimatizable	capable,being,acclimated
σιδηρίτης	ironwort,sideritis,romana
comprehensaturus	about,grasp
ben	boon
deceptivus	likely,attempting,deceive
accidentalism	the,quality,being,accidental
ford	stream
participans	sharing
πεισθείσας	feminine,genitive,singular,peisthe
absconsa	hidden,secret,concealed
propugnatio	defend
λυτρωτε	masculine,accusative,plural,lutr
bar	boar
abiudicarent	third,person,plural,present,active,subjunctive,abi,dic
firenlic	vehemently,rashy
creti	inheritance,heritage
soþsagu	truthful
emp	control,dominion,sway
godspellisc	gospel
abundus	exceed
formula	any,mathematical,rule,expressed,symbolically
consauciatus	wounding
attracto	contraction
γελοίοιν	masculine,nominative,vocative,plural,gelo
banana	the,penis
deploraremur	first,person,plural,imperfect,active,subjunctive
καταπρακτικόν	fitted,for,accomplishing
οὖσα	feminine,nominative,accusative,vocative,dual
γαμηλια	feminine,accusative,singular
undertake	past,participle,undertake
dilatus	second,person,singular,present,active,imperative
ἀδικωτέρᾳ	masculine,vocative,singular,teros
pasta	fed,nourished
χαλεπῇ	masculine,vocative,singular,lep
hos	pants,trousers
syferlic	cleanly,purely
provide	foresee
hwæt	wheat
finger	person
hleapestre	dancer
accedes	advance,attack
gearo	long,ago
arun	northumbrian,form,earon
ποιήσαντες	masculine,accusative,plural,poi
dreame	simple,past,and,participle,dream
diffamatis	defamed,maligned
βαρεησι	feminine,dative,plural,with,movable
patronus	foster,mother
nablum	kind,lyre
νεωτέροις	comparative,degree
crispabunt	third,person,plural,perfect,active,indicative
cost	option,choice
cafe	coffee,small,restaurant,any,genre
coronabor	second,person,singular,future,active,indicative,cor
abiurabimus	first,person,plural,perfect,active,indicative,abi
ephebus	young,man
geweorp	cast,off,altogether
δασεῖα	feminine,dative,singular
ciricwaru	churchwarden
conclama	summon
donatis	given
sapphirus	deep,blue,colour
purpuro	any,precious,valuable,object
cocus	second,person,singular,future,active,indicative,coc
γεγονυῖαν	feminine,genitive,plural,gegon
irritatus	inciter,instigator
celavisti	second,person,plural,perfect,active,indicative
polyedrous	dated,form,polyhedron
advectus	carry,bring,convey,somewhere,often
cogitaberis	first,person,singular,perfect,active,subjunctive,git
ceravissem	first,person,plural,pluperfect,active,subjunctive
addices	second,person,singular,present,active,imperative,add
Νοεμβρίου	november
declamant	third,person,singular,present,active,indicative
artavisset	third,person,plural,pluperfect,active,subjunctive,art
repressus	limiter
defungor	second,person,singular,future,active,indicative,fungor
πόλει	masculine,neuter,dative,plural,pol
decide	dying
κεφάλαιος	masculine,neuter,genitive,singular,keph,laios
basium	first,person,singular,perfect,active,indicative
ληφθέντες	masculine,neuter,genitive,singular,phthe
detorquens	distort,misrepresent
donaveris	first,person,singular,pluperfect,active,indicative
diminuturus	shattered
abiurgabit	third,person,singular,perfect,active,indicative,abi
ci	initialism,civil,infraction
abiurabor	second,person,plural,imperfect,active,indicative,abi
κελλάριν	cellar,pantry,larder
deprecatorius	about,deprecate
ἀδικωτάτην	feminine,dative,singular,tos
crisis	critical,diseases,second,person,singular,present,active,imperative
forswelgan	die
bacatus	inflection,tus,genitive,masculine,neuter,singular
delectus	second,person,singular,present,active,imperative,lect
detegebam	second,person,singular,imperfect,active,indicative,teg
debear	second,person,singular,present,passive,subjunctive
adveneror	second,person,singular,perfect,active,subjunctive,adveni
discedebamus	first,person,plural,imperfect,active,subjunctive,disc
τολμηρότατος	feminine,accusative,singular,tolm,tatos
νικήσασαν	feminine,nominative,vocative,singular
tenebrico	dark,gloomy
acephali	asefala
corrosus	first,person,singular,perfect,active,indicative,corr
copularent	third,person,plural,pluperfect,active,subjunctive,pul
sagum	divining,prophetic
ὄρος	rule,standard
υλη	woody,wooded
μελι	ashen,spear
τερπνοῖς	masculine,nominative,vocative,plural,terpn
coagules	first,person,singular,present,passive,subjunctive,gul
donem	first,person,singular,present,passive,subjunctive
operator	surgeon
irregular	irregular,unusual
decerpens	plucked,culled
θρασεια	feminine,accusative,singular,thr
collatus	inflection,coll,tus,accusative,masculine,singular
κενήν	feminine,genitive,singular,ken
toga	dative,ablative,togum
ablactation	weaning
responsus	oracle
alienarem	first,person,plural,imperfect,active,subjunctive,ali
adolesce	increasing,augmenting,second,person,singular,future,active,indicative
araremus	first,person,plural,imperfect,passive,subjunctive
abdicative	causing,implying,abdication
καταλυτέος	masculine,neuter,dative,plural,katalut
converso	ponder,inverted
alienabis	second,person,plural,imperfect,active,indicative,ali
chorus	tribrach
neurotomical	one,who,skilled,practices,neurotomy
deliquo	failure
denudes	first,person,singular,present,passive,subjunctive,second,active
domitus	subduer,vanquisher,conqueror
adorabatis	second,person,singular,future,passive,indicative
lethargia	lethargic
elimaturus	diminished
constrictus	that,which,constricts
deplorare	first,person,singular,present,passive,subjunctive
bend	turn
λέξον	third,person,singular,future,active,optative
bebyrgan	burying,burial
attrectatus	handling
defututus	feminine,accusative,plural,fut,tus
beryllium	atom,this,element
deaurabatis	second,person,singular,future,passive,indicative,deaur
convoca	assembling
accendo	first,person,singular,perfect,active,indicative,accend
amabatis	third,person,singular,imperfect,passive,indicative
celabis	second,person,plural,future,passive,indicative
saepis	hedge,fence
divarica	inflection,ric,present,active,infinitive
χθονίους	masculine,genitive,singular,khth,nios
διᾶν	feminine,accusative,singular
diffamantor	third,person,plural,future,active,imperative,diff
aula	furrow
demigratus	migrating
pando	ellipsis,giant,panda,ailuropoda,melanoleuca
κληθείσαις	feminine,accusative,plural,the
βαρυτέρᾳ	masculine,vocative,singular,teros
pigror	hesitate
μώρων	masculine,feminine,neuter,genitive,plural
προστιθέντι	masculine,accusative,plural,prost,the
swipor	whip,scourge
gesweorc	darken
pie	magpie
war	seaweed
στήσασαι	masculine,neuter,dative,plural
contagium	influence
γιγάντεσι	masculine,feminine,neuter,dative,plural,singular
deflector	digress
aequus	compare
sima	snub,nosed
tweo	ellipsis,twee,pop
dedicabant	third,person,plural,pluperfect,active,indicative,dic
πελωρ	masculine,neuter,genitive,singular,ros
φανεράς	feminine,genitive,singular,ner
delineem	first,person,plural,present,active,subjunctive
σεμνῇ	masculine,neuter,dative,singular,semn
capital	knowledge,excellent
ambiguus	hesitant
animavi	third,person,singular,perfect,active,indicative,anim
exaltas	second,person,singular,imperfect,active,indicative,exalt
casa	accident,chance
gehealdan	past,participle,ehealdan
frigor	chill,fever
fluor	woolly,downy,substance
θέρμη	feminine,nominative,vocative,singular,therm
rasus	explore
polenta	parched,corn
βλαβερέ	masculine,neuter,dative,singular,ber
οιω	feminine,genitive,plural
ειδειη	first,person,singular,perfect,active,optative
γρυπή	feminine,dative,singular
votum	cast,vote
forgietan	neglect
wiln	desire
abiurgabis	second,person,singular,present,passive,indicative,abi
praecipio	overreaching
ar	obsolete,spelling,are
gleaw	diligence
reciperator	recovery
copulant	second,person,singular,perfect,active,indicative,pul
εὐρέοιν	masculine,neuter,genitive,dative,dual,eur
clamas	third,person,singular,present,active,indicative
pacatum	peacemaker,pacifier
ball	dance
insinuatus	penetrating,etc
spectrum	specter,apparition
amicabis	second,person,plural,imperfect,active,indicative
commutes	decay,spoil,rot
κυούσῃ	feminine,nominative,vocative,singular
defatigatus	second,person,plural,present,active,imperative,fat
ex	delete
derogor	first,person,plural,present,active,indicative,rog
bita	chew,eat
instauraturus	resumed
παραπλησίοις	nearly,resembling
νικώσῃ	masculine,neuter,dative,plural
σκαζω	iambic,verse,with,spondee,the,last,place,choliamb
μακροτατη	feminine,accusative,singular,tos
wita	advisor
hora	whore,prostitute,dirt
colloca	assembling
rad	scrape,shave,scratch
bulles	inflection,bulla,genitive,dative,singular
admutilatus	cropping
rumor	fame,reputation
spell	story
conditio	requirement
conaturus	tried,attempted,having
exstinctor	quenched,extinguished
twenty-sixth	the,ordinal,form,number,twenty,nine
lava	wash,bathe,lava
knockout	sell
ta	toe
forma	shaping,forming,fashioning
δυνατήν	feminine,genitive,singular
information	information
θυον	masculine,neuter,genitive,plural
are	second,person,singular,present,active,imperative
πάσχοντες	masculine,accusative,plural,skh
dedo	second,person,singular,present,active,imperative,first,perfect
gelica	inflected,infinitive,cian
lumen	the,cavity,channel,within,tube,tubular,organ
certantur	certain
sophi	wisdom,often,personified
adescabis	first,person,singular,future,passive,indicative
δέουσαι	feminine,dative,plural
καλέουσαν	feminine,genitive,plural
bisig	business,occupation,activity
durus	door,stiffly,awkwardly,second,person,singular,present,passive
fordwinen	disappear
fallo	having,collapsed
ποιούσας	feminine,genitive,singular,poi
muscus	fly,insect
dabis	first,person,singular,future,passive,indicative
deaurabantur	third,person,plural,imperfect,passive,subjunctive,deaur
boare	third,person,plural,imperfect,active,subjunctive
cogitabis	second,person,plural,imperfect,passive,indicative,git
scin	shin
auctorizo	guarantee
pugillaris	writing,tablet,notebook
ambis	pulpit,lectern
εἰπόντος	masculine,nominative,vocative,plural,eip
argue	asserting
aequinoctiale	equinox
κενοι	masculine,neuter,genitive,dative,dual,ken
παύσουσα	third,person,plural,active,future,indicative
cumularent	third,person,plural,pluperfect,active,subjunctive,cumul
dedicemus	first,person,plural,present,passive,subjunctive,dic
δεηθεῖσαν	feminine,genitive,plural,the
indicativus	that,indicates,indicative
adamo	second,person,singular,present,active,imperative,adam,inflection
bursa	inflection,bursa,nominative,vocative,plural
molitus	miller
crescerent	third,person,singular,imperfect,active,subjunctive
deturpate	second,person,singular,perfect,active,indicative,turp
μακαρίους	masculine,neuter,genitive,singular
inflatio	undue,expansion,increase,academic,grades
divines	first,person,singular,present,passive,subjunctive
incorporatio	embody
προσκομίσασθαι	aorist,active,infinitive,proskom
celaveris	second,person,plural,perfect,active,subjunctive
γιγνωσκούσαις	feminine,nominative,vocative,plural
abiuranto	third,person,plural,future,passive,imperative,abi
britannus	inflection,britannus,genitive,singular
abiudicabis	third,person,singular,future,active,indicative,abi,dic
cenes	dine,eat,dinner,sup
admissum	let,having,been
dictus	verse,poetry,inflection,dictus,nominative,vocative,feminine,plural
servitus	servant,servitor
ablegabant	third,person,plural,imperfect,passive,indicative,abl,pluperfect
delineabis	second,person,plural,imperfect,passive,indicative
asservare	second,person,plural,present,active,imperative,asservi
ου	where
defendat	serving,suitable,for,defense
adscribes	second,person,singular,present,active,imperative,adscr
incrustatus	encrusting
concupiscens	coveting
communio	communicate
duplus	twofold
declamabis	first,person,plural,imperfect,active,indicative
ablegarent	third,person,plural,imperfect,passive,subjunctive,abl
antecedes	excel,surpass
demorde	bite,off
καταλυτέους	masculine,accusative,plural,katalutik
anwille	stubbornly
profundus	prostrate
contingo	second,person,singular,future,passive,indicative,conting
detona	second,person,singular,present,active,indicative,ton
amaveris	second,person,plural,pluperfect,active,indicative
consternare	second,person,plural,present,active,imperative,nstern
καθαρωτάτας	feminine,genitive,singular,tos
φυσικήν	feminine,genitive,singular
adordino	inflection,rdin,present,active,infinitive
denotes	inflection,not,present,active,infinitive
basiabis	first,person,plural,future,active,indicative
blondus	stupid,ignorant,naive
cenabis	second,person,singular,imperfect,active,indicative
relegatus	despatching
decoctus	bankrupt,defaulted,debtor
bipartio	bipartite
δοκούσας	feminine,dative,plural,dok
examinant	third,person,plural,pluperfect,active,subjunctive,min
lividus	render,livid
assiduabatis	second,person,singular,future,passive,indicative,assidu
πλατέοιν	masculine,neuter,genitive,singular
γενηθείσης	feminine,accusative,singular,gen,the
fanda	examine,explore
σκοποῦσι	masculine,neuter,dative,singular,skop
corruptibilis	corruptibility,perishableness
cavavisti	second,person,plural,perfect,active,indicative,cav
delegaberis	first,person,singular,perfect,active,subjunctive,second,present
τηλικαύτῃ	feminine,nominative,singular,tos
δυνατοι	masculine,neuter,genitive,dative,dual
παυθησόμεθα	first,person,plural,passive,future,optative
albantor	third,person,plural,future,active,imperative,alb
canum	dog,hound,animal,white
γιγνωσκουσῶν	masculine,neuter,genitive,plural
decor	pride,dignity
aremus	first,person,plural,present,passive,subjunctive
adornaris	inflection,present,active,infinitive
πελωριω	feminine,genitive,plural,pel
γραμματικός	fee,paid,scribes,egypt
στείχουσαι	feminine,dative,plural,ste
derogetis	third,person,singular,present,passive,subjunctive,rog
deambula	walking,promenading
παύουσαι	masculine,neuter,dative,plural
spoliator	stripped
οὐρανίδας	feminine,nominative,vocative,plural,our
dream	ideal
μέτριαι	feminine,dative,plural
basiaverat	third,person,plural,pluperfect,active,indicative
egregius	excellently,eminently
musfealle	mouse,colored
drug	wither
asseris	sow,plant,set,near,something
deletur	inflection,rus,accusative,masculine,singular
condonant	second,person,singular,perfect,active,indicative,cond
corroboratis	strengthened,corroborated
χαλεποῖσιν	masculine,neuter,dative,plural,lep
ἀγρίᾳ	masculine,neuter,dative,singular
βασιλευούσας	feminine,nominative,vocative,plural
pond	weight
condonabunt	third,person,plural,perfect,active,indicative,cond
στήσαντες	masculine,accusative,plural
anhelus	first,person,singular,present,passive,indicative,anh
tar	simple,past,tear
